거래처명,유형,연락처,담당자,이메일,주소,지점,메모,등록일
알파플라워,생화,,,,,릴리맥여의도점,,2025-09-20 15:53
애니쿨,기타,,,,,릴리맥광화문점,,2025-11-27 14:26
약국,기타,,,,,릴리맥NC이스트폴점,,2026-01-04 14:54
얌샘김밥,식당,,,,,릴리맥여의도점,,2025-09-23 11:24
양지난원,난,,,,,,,2025-08-24 13:51
억불농원,난,,,,,릴리맥여의도점,,2025-08-22 18:13
연주꽃농원,분화,,,,,릴리맥여의도점,,2025-10-23 17:45
열매농원-과천,분화,,,,,릴리맥NC이스트폴점,,2025-08-18 14:46
영문농원,분화,,,,,릴리맥여의도점,,2025-08-22 18:13
영화원,생화,,,,,릴리맥NC이스트폴점,,2025-09-13 14:28
오리엔탈무역,기타,,,,,릴리맥NC이스트폴점,,2025-11-22 14:30
올림픽셀프주유소,기타공급업체,,,,,릴리맥여의도점,,2026-03-30 16:28
용민농원,분화,,,,,릴리맥여의도점,,2025-09-30 20:13
우리들난원,난,,,,,릴리맥여의도점,,2025-08-23 15:57
운송업체,기타공급업체,,,,,릴리맥광화문점,,2026-03-05 15:44
월드플로라,생화,,,,,,,2025-08-03 11:05
위클리-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:31
유선농원,기타공급업체,,,,,릴리맥광화문점,,2026-02-25 16:23
유선농원-헌인,화분,,,,,릴리맥NC이스트폴점,,2025-08-18 14:46
유정꽃바구니-양재,화훼부자재,,,,,릴리맥여의도2호점,,2025-08-18 16:31
을지다락,기타공급업체,,,,,릴리맥여의도점,,2026-04-14 07:34
이레데코,기타,,,,,릴리맥여의도점,,2025-09-23 17:21
이케아,상품공급업체,,,,,,,2025-08-15 13:25
일산플라워-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 15:52
잠실에너지,기타,,,,,릴리맥여의도점,,2025-09-04 12:09
정은원예157호-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:08
제이앤데코,기타공급업체,,,,,릴리맥여의도점,,2026-03-03 18:43
제이앤데코-일산,화분,,김대진,,고양시 덕양구 지축동 588 ,,,2025-08-18 19:45
제일농원,분화,,,,,릴리맥여의도점,,2025-09-18 16:52
제일제면소,식당,,,,,릴리맥여의도점,,2025-10-30 09:12
조이플라워,생화,,,,,릴리맥여의도점,,2025-09-13 15:31
중매101진화원,생화,,,,,릴리맥NC이스트폴점,,2026-01-04 14:52
진성농원,기타공급업체,,,,,릴리맥광화문점,,2026-02-25 16:23
진성농원-과천,분화,,,,,릴리맥NC이스트폴점,,2025-08-18 14:46
진주화원,생화,,,,,릴리맥여의도점,,2025-11-27 09:11
진화원,기타공급업체,,,,,릴리맥광화문점,,2026-01-05 15:11
진화원-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:31
차이797,기타공급업체,,,,,릴리맥여의도점,,2026-02-28 15:42
채아네가든,기타공급업체,,,,,릴리맥여의도점,,2026-03-16 11:44
채아네가든-헌인,분화,,,,,릴리맥여의도2호점,,2025-08-18 16:31
청정밀,기타공급업체,,,,,릴리맥여의도점,,2026-03-02 16:24
청지화원-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:31
초야플라워,기타공급업체,,,,,릴리맥여의도점,,2026-04-01 15:51
초원농원-양재,분화,,,,,릴리맥NC이스트폴점,,2025-08-18 14:46
충남난원,생화,,,,,릴리맥여의도점,,2025-09-20 15:53
카카오T,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-04-16 12:15
